wikidata_id,name,candidate_affiliation,possible_box_count,citizenship_support,native_language_support,spoken_written_language_support,writing_language_support,checked_box_count,score_share
http://www.wikidata.org/entity/Q19896115,Maxime de Redon,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q18398730,Maximilien-Marie Harel,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q18398730,Maximilien-Marie Harel,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q3302963,Mayeur de Saint-Paul,France,4,True,False,False,False,1,0.25
http://www.wikidata.org/entity/Q3302963,Mayeur de Saint-Paul,French,4,False,True,True,True,3,0.75
http://www.wikidata.org/entity/Q919900,Melchiore Cesarotti,Anglophone,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q919900,Melchiore Cesarotti,French,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q919900,Melchiore Cesarotti,German,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q919900,Melchiore Cesarotti,Hebrew,3,False,False,True,False,1,0.3333
http://www.wikidata.org/entity/Q919900,Melchiore Cesarotti,Italian,3,True,False,True,True,3,1.0
http://www.wikidata.org/entity/Q1927905,Michael Huber,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q1927905,Michael Huber,German,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q1927905,Michael Huber,Germany,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q789770,Michail Balugjanski,Anglophone,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q789770,Michail Balugjanski,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q789770,Michail Balugjanski,German,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q789770,Michail Balugjanski,Greek,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q789770,Michail Balugjanski,Hungarian,2,True,False,True,False,2,1.0
http://www.wikidata.org/entity/Q789770,Michail Balugjanski,Italian,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q789770,Michail Balugjanski,Russian,2,True,False,True,False,2,1.0
http://www.wikidata.org/entity/Q789770,Michail Balugjanski,Ukrainian/Rusyn,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q3308872,Michel Ange Mangourit,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q3308872,Michel Ange Mangourit,French,2,False,False,True,False,1,0.5
http://www.wikidata.org/entity/Q15523817,Michel Dieulafoy,France,2,True,False,False,False,1,0.5
http://www.wikidata.org/entity/Q15523817,Michel Dieulafoy,French,2,False,False,True,False,1,0.5
