query (1),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
person,personLabel,birthYear,birthPlaceLabel,coords,occupations
http://www.wikidata.org/entity/Q3164354,Jean-Baptiste Picquenard,1771,Paris,Point(2.352222222 48.856666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q623180,Carlo Giuseppe Guglielmo Botta,1766,San Giorgio Canavese,Point(7.796819 45.334155),écrivain ou écrivaine
http://www.wikidata.org/entity/Q100894221,Adrien François d'Huez,1688,Arras,Point(2.78 50.289166666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q95447,Johann Joachim Schwabe,1714,Magdebourg,Point(11.6399609 52.1315889),"écrivain ou écrivaine, poète ou poétesse"
http://www.wikidata.org/entity/Q327552,Louis-Simon Auger,1772,Paris,Point(2.352222222 48.856666666),"dramaturge, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q3617264,Angelo Tremamondo,1716,Livourne,Point(10.316666666 43.55),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3383045,Pierre-François Kéraudren,1769,Brest,Point(-4.486944444 48.39),écrivain ou écrivaine
http://www.wikidata.org/entity/Q159636,Joseph Priestley,1733,Birstall,Point(-1.66092 53.7343),"écrivain ou écrivaine, historien ou historienne des sciences"
http://www.wikidata.org/entity/Q109283126,Hyacinthe Dorvo,1768,Rennes,Point(-1.680833333 48.114166666),dramaturge
http://www.wikidata.org/entity/Q3263815,Louise Rose Babaud de La Chaussade,1747,Paris,Point(2.352222222 48.856666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3130361,Henri-David de Chaillet,1751,Neuchâtel,Point(6.930555555 46.990277777),écrivain ou écrivaine
http://www.wikidata.org/entity/Q83321,Giacomo Casanova,1725,Venise,Point(12.331944444 45.439722222),"écrivain ou écrivaine, poète ou poétesse, autobiographe, romancier ou romancière"
http://www.wikidata.org/entity/Q3525478,Thomas Pichon,1700,Vire,Point(-0.889166666 48.838611111),écrivain ou écrivaine
http://www.wikidata.org/entity/Q6075481,Pierre-Louis-Auguste de Crusy,1769,Vauban,Point(4.223611111 46.260833333),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3047880,Edmond Jean François Barbier,1689,Paris,Point(2.352222222 48.856666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q275947,Charlotte Aïssé,1693,Circassie,Point(39.720278 43.585278),"essayiste, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q372115,Antioche Cantemir,1708,Constantinople,Point(28.98 41.0125),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q269865,Marie-Thérèse Rodet Geoffrin,1695,Paris,Point(2.352222222 48.856666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q27516787,François Abgrall,1757,Guimiliau,Point(-3.998888888 48.487777777),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3170733,Jean Berrier,1766,Aire-sur-la-Lys,Point(2.396666666 50.638611111),"dramaturge, poète ou poétesse"
http://www.wikidata.org/entity/Q464027,Frédérique Brion,1752,Niederrœdern,Point(8.047777777 48.906111111),écrivain ou écrivaine
http://www.wikidata.org/entity/Q709670,Louis-Sébastien Mercier,1740,quai du Louvre,Point(2.34028 48.8589),"dramaturge, poète ou poétesse, écrivain ou écrivaine de science-fiction, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q15078937,Frédéric Samuel Ostervald,1713,Neuchâtel,Point(6.930555555 46.990277777),écrivain ou écrivaine
http://www.wikidata.org/entity/Q2856749,Antoine Sérieys,1755,Aveyron,Point(2.7 44.25),écrivain ou écrivaine
http://www.wikidata.org/entity/Q919900,Melchiore Cesarotti,1730,Padoue,Point(11.873333333 45.407777777),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q73890,Charles-Frédéric Reinhard,1761,Schorndorf,Point(9.533333333 48.8),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3035422,Dominique Ricard,1741,Toulouse,Point(1.443333333 43.604444444),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q22978322,Louise Brayer de Saint-Léon,1765,Chandernagor,Point(88.3674112 22.8670577),"écrivain ou écrivaine, romancier ou romancière"
http://www.wikidata.org/entity/Q66314588,Marguerite Daubenton,1720,Montbard,Point(4.336944444 47.623055555),romancier ou romancière
http://www.wikidata.org/entity/Q3085689,François Richard,1733,Limoges,Point(1.261666666 45.834444444),"poète ou poétesse, écrivain ou écrivaine"
http://www.wikidata.org/entity/Q789770,Michail Balugjanski,1769,Vyšná Olšava,Point(21.603888888 49.158611111),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3127563,Charles Harny de Guerville,1730,Paris,Point(2.352222222 48.856666666),"librettiste, dramaturge"
http://www.wikidata.org/entity/Q63639,Charlotte Buff,1753,Lottehaus,Point(8.50405 50.5552),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3340570,Nicolas Jolyclerc,1746,Lyon,Point(4.835 45.7675),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3260300,Louis-Alexandre Jard-Panvillier,1757,Aigonnay,Point(-0.258333333 46.329722222),écrivain ou écrivaine
http://www.wikidata.org/entity/Q124073,Jean de Sismondi,1773,Genève,Point(6.15 46.2),écrivain ou écrivaine
http://www.wikidata.org/entity/Q23901691,René-Pierre Nepveu de la Manouillère,1732,Le Mans,Point(0.196944444 48.004166666),diariste
http://www.wikidata.org/entity/Q393983,François-Joseph Talma,1763,Paris,Point(2.352222222 48.856666666),écrivain ou écrivaine
http://www.wikidata.org/entity/Q3085005,François Jourgniac de Saint-Méard,1745,Bordeaux,Point(-0.579444444 44.837777777),dramaturge
http://www.wikidata.org/entity/Q3085005,François Jourgniac de Saint-Méard,1747,Bordeaux,Point(-0.579444444 44.837777777),dramaturge
http://www.wikidata.org/entity/Q120804940,Jean Roy,1773,Gelles,Point(2.763055555 45.769444444),"poète ou poétesse, écrivain ou écrivaine"
