wikidata_id,person_id,name,birth_year_values,birth_place_values,birth_scope_category,birth_place_labels
http://www.wikidata.org/entity/Q18093158,Q18093158,Bartle Idzerda,1753,,europe,Wânswert
http://www.wikidata.org/entity/Q12254805,Q12254805,Bartolome Olaetxea,1723,,europe,Gautegiz Arteaga
http://www.wikidata.org/entity/Q3635325,Q3635325,Bartolomeo Benincasa,1745,,europe,Modène
http://www.wikidata.org/entity/Q17279898,Q17279898,Bartolomeo Borghi,1750,,europe,Monte del Lago
http://www.wikidata.org/entity/Q86837109,Q86837109,Bartolomeo Cenci,1750,,europe,Pérouse
http://www.wikidata.org/entity/Q3635388,Q3635388,Bartolomeo Lorenzi,1732,,europe,Fumane
http://www.wikidata.org/entity/Q3635410,Q3635410,Bartolomeo Ravenna,1761,,europe,Gallipoli
http://www.wikidata.org/entity/Q87739,Q87739,Baruch Jeiteles,1762,,europe,Prague
http://www.wikidata.org/entity/Q6675110,Q6675110,Baruch Lindau,1759,,europe,Hanovre
http://www.wikidata.org/entity/Q118913218,Q118913218,"Basan, Yiśraʼel Binyamin ben Yeshaʻyahu, 1701-1790",1701,,europe,Padoue
http://www.wikidata.org/entity/Q810165,Q810165,Basilius Meggle,1754,,europe,Stühlingen
http://www.wikidata.org/entity/Q813791,Q813791,Beda Plank,1741,,europe,Weyer
http://www.wikidata.org/entity/Q50085257,Q50085257,Beda Regaus,1718,,europe,Bruxelles
http://www.wikidata.org/entity/Q21068934,Q21068934,Ben Boucher,1769,,europe,Horseley Heath
http://www.wikidata.org/entity/Q3638089,Q3638089,Benedetto Micheli,1699,,europe,Rome
http://www.wikidata.org/entity/Q4887379,Q4887379,Benedetto Stay,1714,,europe,Dubrovnik
http://www.wikidata.org/entity/Q16739582,Q16739582,Benedikt Heinrich Thering,1679,,europe,Berlin
http://www.wikidata.org/entity/Q20746044,Q20746044,Benedikt Schmier,1682,,europe,Bad Grönenbach
http://www.wikidata.org/entity/Q816881,Q816881,Benedikt Strauch,1724,,europe,Ząbkowice Śląskie
http://www.wikidata.org/entity/Q13125985,Q13125985,Benjamin Francis,1734,,europe,Cenarth
http://www.wikidata.org/entity/Q16830601,Q16830601,Benjamin Kingsbury,1765,,europe,Warwick
http://www.wikidata.org/entity/Q94755281,Q94755281,Benjamin Silber,1772,,europe,Waldheim
http://www.wikidata.org/entity/Q817989,Q817989,Benno Scharl,1741,,europe,Seefeld
http://www.wikidata.org/entity/Q818647,Q818647,Ber aus Bolechow,1723,,europe,Bolekhiv
http://www.wikidata.org/entity/Q3638725,Q3638725,Bernardino Perfetti,1681,,europe,Sienne
http://www.wikidata.org/entity/Q21209119,Q21209119,Bernardo Maria Valera,1711,,europe,Giuliano Teatino
http://www.wikidata.org/entity/Q99549121,Q99549121,Bernardus Accama,1747,,europe,Leuvarde
http://www.wikidata.org/entity/Q112363296,Q112363296,Bernardus Weber,1694,,europe,Prague
http://www.wikidata.org/entity/Q21552766,Q21552766,Bernardus de Bosch,1709,,europe,Amsterdam
http://www.wikidata.org/entity/Q55134000,Q55134000,Bernhard Ambros Benedict Rensing,1760,,europe,Dorsten
http://www.wikidata.org/entity/Q106978444,Q106978444,Bernhard Ambros Ehrlich,1765,,europe,Bernsdorf
http://www.wikidata.org/entity/Q25991406,Q25991406,Bernhard Christoph d'Arien,1754,,europe,Hambourg
http://www.wikidata.org/entity/Q55905944,Q55905944,Bernhard Friedrich Rudolph Lauhn,1712,,europe,Weimar
http://www.wikidata.org/entity/Q25621849,Q25621849,Bernhard Gottfried Bueren,1771,,europe,Wolbeck
http://www.wikidata.org/entity/Q95070318,Q95070318,Bernhard Gruber,1683,,europe,Strakonice | Vyšší Brod
http://www.wikidata.org/entity/Q94901641,Q94901641,Bernhard Heinrich Karl Reinhard,1760,,europe,Gotha
http://www.wikidata.org/entity/Q22693779,Q22693779,Bernhard Joseph Schleiß,1731,,europe,Lauterecken
http://www.wikidata.org/entity/Q61198382,Q61198382,Bernhard Schlesinger,1773,,europe,Kolín
http://www.wikidata.org/entity/Q12255112,Q12255112,Beñat Larralde,1771,,europe,Hasparren
http://www.wikidata.org/entity/Q12255113,Q12255113,Beñat Mardo,1700,,europe,Barcus
http://www.wikidata.org/entity/Q64364409,Q64364409,Biagio Ortoleva,1752,,europe,Corleone
http://www.wikidata.org/entity/Q21832747,Q21832747,Bianca Laura Saibante,1723,,europe,Rovereto
http://www.wikidata.org/entity/Q794671,Q794671,Biffi János Ambrus,1735,,europe,Mezzago
http://www.wikidata.org/entity/Q2921793,Q2921793,Boelardus Augustinus van Boelens,1722,,europe,Leuvarde
