slice_id,context_label,context_order,metric,metric_label,entity_count,denominator,pct,notes,aggregation_level,gender_category,granular_bucket,bucket_family
france,France,0,top_affiliation_tie,Top affiliation tie,2,5,40.0,Entity has more than one top-ranked affiliation candidate.,context_gender,unknown,All occupation buckets,All occupation evidence
france,France,0,low_evidence_affiliation,Low-evidence affiliation,0,4,0.0,Top affiliation candidate is supported by zero or one mapped evidence field.,context_gender_bucket,female,Economics / Commerce,Institutional power
france,France,0,missing_country_of_citizenship,Missing citizenship,0,4,0.0,Entity has no Wikidata country-of-citizenship value.,context_gender_bucket,female,Economics / Commerce,Institutional power
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,4,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_gender_bucket,female,Economics / Commerce,Institutional power
france,France,0,no_place_context,No place context,0,4,0.0,Entity has no mapped birth/death/residence/work-location evidence.,context_gender_bucket,female,Economics / Commerce,Institutional power
france,France,0,no_tracked_wikipedia_article,No tracked Wikipedia article,0,4,0.0,Entity has no article in the tracked language-edition matrix.,context_gender_bucket,female,Economics / Commerce,Institutional power
france,France,0,top_affiliation_tie,Top affiliation tie,0,4,0.0,Entity has more than one top-ranked affiliation candidate.,context_gender_bucket,female,Economics / Commerce,Institutional power
france,France,0,low_evidence_affiliation,Low-evidence affiliation,2,13,15.38,Top affiliation candidate is supported by zero or one mapped evidence field.,context_gender_bucket,female,Education / Scholarship / Humanities,Intellectual systems
france,France,0,missing_country_of_citizenship,Missing citizenship,4,13,30.77,Entity has no Wikidata country-of-citizenship value.,context_gender_bucket,female,Education / Scholarship / Humanities,Intellectual systems
france,France,0,no_mapped_affiliation_candidate,No mapped affiliation candidate,0,13,0.0,Entity has no mapped candidate in the affiliation evidence table.,context_gender_bucket,female,Education / Scholarship / Humanities,Intellectual systems
france,France,0,no_place_context,No place context,0,13,0.0,Entity has no mapped birth/death/residence/work-location evidence.,context_gender_bucket,female,Education / Scholarship / Humanities,Intellectual systems
