wikidata_id,name,candidate_affiliation_count,best_candidate_affiliation,top_candidate_affiliations,top_checked_box_count,second_checked_box_count,top_score_share,top_candidate_tie_count,affiliation_review_status
http://www.wikidata.org/entity/Q124751042,Agošt Peter Lutarič,1,Germany,Germany,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q2827140,Agricol-Joseph Fortia d'Urban,2,French,French,2,1,0.6667,1,tentative
http://www.wikidata.org/entity/Q12252869,Agustin Basterretxea,2,,Basque | Spanish,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q11904399,Agustí Eura,2,Spanish,Spanish,2,1,1.0,1,tentative
http://www.wikidata.org/entity/Q17301901,Agustí Torres,2,Spanish,Spanish,2,1,1.0,1,tentative
http://www.wikidata.org/entity/Q67152406,Agustín Antonio Minuart,1,Spanish,Spanish,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q3325078,Agustín Cardaberaz,2,,Basque | Spanish,1,1,1.0,2,mixed_top_score
http://www.wikidata.org/entity/Q5660660,Agustín García Arrieta,1,Spanish,Spanish,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q34891394,Agustín Pablo de Castro,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q5660819,Agustín Pomposo Fernández,1,Spanish,Spanish,1,0,1.0,1,single_signal
http://www.wikidata.org/entity/Q17620399,Agustín de Castro,1,Spanish,Spanish,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q1243093,Agustín de Montiano y Luyando,1,Spanish,Spanish,2,0,1.0,1,tentative
http://www.wikidata.org/entity/Q15911904,Agvaandandar,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q18571725,Ahacij Stržinar,2,,Germany | Slovene,1,1,0.5,2,mixed_top_score
http://www.wikidata.org/entity/Q400114,Ahazuerus van den Berg,1,Dutch,Dutch,3,0,1.0,1,strong
http://www.wikidata.org/entity/Q136126029,Aheni Mehmet Çelebi,3,Ottoman,Ottoman,3,1,1.0,1,strong
http://www.wikidata.org/entity/Q16161761,Ahmad Asim,3,Ottoman,Ottoman,2,1,1.0,1,tentative
http://www.wikidata.org/entity/Q4116556,Ahmad Naraqi,2,Persian,Persian,2,1,1.0,1,tentative
http://www.wikidata.org/entity/Q46798,Ahmad Shâh,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q127424855,Ahmad Yar,0,,,0,0,,0,no_mapped_affiliation
http://www.wikidata.org/entity/Q56605536,Ahmad al-Attar,2,,Arabic | Ottoman,1,1,0.5,2,mixed_top_score
